****************************************
Report : Time Based Power
	-hierarchy
	-verbose
Design : aes_cipher_top
Version: N-2017.12-SP3-2
Date   : Tue Mar 26 21:55:59 2019
****************************************

Sampling Interval: 0.001 ns

Library(s) Used:

    sage-x_tsmc_cl018g_rvt_ss_1p62v_125c (File: /opt/libs/tsmc180/extracted/tsmc/cl018g/sc9_base_rvt/2008q3v01/db/sage-x_tsmc_cl018g_rvt_ss_1p62v_125c.db)
    tpz018nvwc (File: /opt/libs/tsmc180/extracted/gpio/TPZ018NV/TS02IG502/fb_tpz018nv_280a_r6p0-02eac0/timing_power_noise/NLDM/tpz018nv_280a/tpz018nvwc.db)
    sram12x8 (File: /home/bilgiday/sram_new/db/sram12x8_slow_syn.db)
    USERLIB (File: /home/bilgiday/sram_new/db/sram6x26_slow_syn.db)
    sram8x25 (File: /home/bilgiday/sram_new/db/sram8x25_slow_syn.db)
    sram9x32 (File: /home/bilgiday/sram_new/db/sram9x32_slow_syn.db)
    sram6x32 (File: /home/bilgiday/sram_new/db/sram6x32_slow_syn.db)
    sram8x32 (File: /home/bilgiday/sram_new/db/sram8x32_slow_syn.db)
    USERLIB (File: /home/bilgiday/sram_new/db/sram2p8x32_slow_syn.db)
    sram13x8 (File: /home/bilgiday/sram_new/db/sram13x8_slow_syn.db)


Operating Conditions: ss_1p62v_125c   Library: sage-x_tsmc_cl018g_rvt_ss_1p62v_125c
Wire Load Model Mode: top

Cell               Design       Wire_model  Library       Selection_type
--------------------------------------------------------------------------------
                   aes_cipher_top
                                TSMC16K_Conservative
                                            tpz018nvwc    automatic-by-area

Power-specific unit information :
    Voltage Units = 1 V
    Capacitance Units = 1 pf
    Time Units = 1 ns
    Dynamic Power Units = 1 W
    Leakage Power Units = 1 W



                                      Int      Switch   Leak      Total
Hierarchy                             Power    Power    Power     Power    %
--------------------------------------------------------------------------------
  text_out_reg_67_ (WDDLDFFMS)        3.54e-06 6.80e-08 2.02e-09  3.61e-06   0.1
  sa11_reg_6_ (WDDLDFFMS)             3.52e-06 8.05e-08 2.01e-09  3.60e-06   0.1
  sa01_reg_1_ (WDDLDFFMS)             4.29e-06 1.54e-06 2.04e-09  5.83e-06   0.1
  text_out_reg_28_ (WDDLDFFMS)        3.59e-06 6.80e-08 2.03e-09  3.66e-06   0.1
  sa32_reg_6_ (WDDLDFFMS)             4.25e-06 2.68e-07 2.02e-09  4.52e-06   0.1
  sa22_reg_1_ (WDDLDFFMS)             4.64e-06 7.68e-07 2.01e-09  5.41e-06   0.1
  text_out_reg_68_ (WDDLDFFMS)        4.61e-06 1.70e-07 2.08e-09  4.78e-06   0.1
  sa11_reg_7_ (WDDLDFFMS)             3.97e-06 5.65e-07 2.03e-09  4.54e-06   0.1
  sa01_reg_2_ (WDDLDFFMS)             4.85e-06 7.70e-07 2.06e-09  5.62e-06   0.1
  text_out_reg_29_ (WDDLDFFMS)        3.74e-06 6.80e-08 2.04e-09  3.81e-06   0.1
  sa32_reg_7_ (WDDLDFFMS)             3.97e-06 5.65e-07 2.02e-09  4.54e-06   0.1
  text_out_reg_120_ (WDDLDFFMS)       3.86e-06 6.80e-08 2.01e-09  3.93e-06   0.1
  sa22_reg_2_ (WDDLDFFMS)             4.33e-06 3.85e-07 2.00e-09  4.71e-06   0.1
  text_out_reg_69_ (WDDLDFFMS)        3.59e-06 1.02e-07 2.03e-09  3.69e-06   0.1
  sa01_reg_3_ (WDDLDFFMS)             3.98e-06 3.73e-07 2.02e-09  4.36e-06   0.1
  text_out_reg_121_ (WDDLDFFMS)       3.72e-06 6.80e-08 2.03e-09  3.79e-06   0.1
  text_out_reg_10_ (WDDLDFFMS)        4.01e-06 1.36e-07 2.04e-09  4.15e-06   0.1
  sa22_reg_3_ (WDDLDFFMS)             4.01e-06 3.73e-07 1.99e-09  4.38e-06   0.1
  text_out_reg_50_ (WDDLDFFMS)        3.64e-06 6.80e-08 2.00e-09  3.71e-06   0.1
  sa01_reg_4_ (WDDLDFFMS)             4.29e-06 6.70e-07 2.03e-09  4.96e-06   0.1
  text_out_reg_90_ (WDDLDFFMS)        3.89e-06 6.80e-08 2.00e-09  3.96e-06   0.1
  text_out_reg_122_ (WDDLDFFMS)       3.67e-06 6.80e-08 2.02e-09  3.74e-06   0.1
  text_out_reg_11_ (WDDLDFFMS)        4.11e-06 1.36e-07 2.05e-09  4.25e-06   0.1
  sa22_reg_4_ (WDDLDFFMS)             4.55e-06 5.03e-07 2.04e-09  5.06e-06   0.1
  text_out_reg_51_ (WDDLDFFMS)        3.73e-06 6.80e-08 2.03e-09  3.80e-06   0.1
  sa01_reg_5_ (WDDLDFFMS)             4.15e-06 2.00e-07 2.01e-09  4.35e-06   0.1
  text_out_reg_91_ (WDDLDFFMS)        3.78e-06 1.02e-07 2.03e-09  3.89e-06   0.1
  text_out_reg_123_ (WDDLDFFMS)       3.83e-06 1.02e-07 2.04e-09  3.94e-06   0.1
  text_out_reg_12_ (WDDLDFFMS)        4.18e-06 1.02e-07 2.04e-09  4.28e-06   0.1
  sa22_reg_5_ (WDDLDFFMS)             4.22e-06 3.00e-07 2.04e-09  4.52e-06   0.1
  sa12_reg_0_ (WDDLDFFMS)             4.63e-06 3.98e-07 2.03e-09  5.03e-06   0.1
