****************************************
Report : Time Based Power
	-hierarchy
	-verbose
Design : aes_cipher_top
Version: N-2017.12-SP3-2
Date   : Wed Mar 27 21:06:46 2019
****************************************

Sampling Interval: 0.001 ns

Library(s) Used:

    sage-x_tsmc_cl018g_rvt_ss_1p62v_125c (File: /opt/libs/tsmc180/extracted/tsmc/cl018g/sc9_base_rvt/2008q3v01/db/sage-x_tsmc_cl018g_rvt_ss_1p62v_125c.db)
    tpz018nvwc (File: /opt/libs/tsmc180/extracted/gpio/TPZ018NV/TS02IG502/fb_tpz018nv_280a_r6p0-02eac0/timing_power_noise/NLDM/tpz018nv_280a/tpz018nvwc.db)
    sram12x8 (File: /home/bilgiday/sram_new/db/sram12x8_slow_syn.db)
    USERLIB (File: /home/bilgiday/sram_new/db/sram6x26_slow_syn.db)
    sram8x25 (File: /home/bilgiday/sram_new/db/sram8x25_slow_syn.db)
    sram9x32 (File: /home/bilgiday/sram_new/db/sram9x32_slow_syn.db)
    sram6x32 (File: /home/bilgiday/sram_new/db/sram6x32_slow_syn.db)
    sram8x32 (File: /home/bilgiday/sram_new/db/sram8x32_slow_syn.db)
    USERLIB (File: /home/bilgiday/sram_new/db/sram2p8x32_slow_syn.db)
    sram13x8 (File: /home/bilgiday/sram_new/db/sram13x8_slow_syn.db)


Operating Conditions: ss_1p62v_125c   Library: sage-x_tsmc_cl018g_rvt_ss_1p62v_125c
Wire Load Model Mode: top

Cell               Design       Wire_model  Library       Selection_type
--------------------------------------------------------------------------------
                   aes_cipher_top
                                TSMC16K_Conservative
                                            tpz018nvwc    automatic-by-area

Power-specific unit information :
    Voltage Units = 1 V
    Capacitance Units = 1 pf
    Time Units = 1 ns
    Dynamic Power Units = 1 W
    Leakage Power Units = 1 W



                                      Int      Switch   Leak      Total
Hierarchy                             Power    Power    Power     Power    %
--------------------------------------------------------------------------------
  us22 (aes_sbox_9)                   2.49e-05 4.95e-05 7.28e-08  7.44e-05   1.9
  us23 (aes_sbox_8)                   2.86e-05 5.45e-05 7.29e-08  8.31e-05   2.1
  sa11_reg_4_ (WDDLDFFMS)             4.28e-06 6.70e-07 2.03e-09  4.95e-06   0.1
  text_out_reg_26_ (WDDLDFFMS)        3.97e-06 1.02e-07 2.05e-09  4.07e-06   0.1
  sa32_reg_4_ (WDDLDFFMS)             4.02e-06 3.12e-07 2.01e-09  4.34e-06   0.1
  text_out_reg_66_ (WDDLDFFMS)        3.32e-06 6.80e-08 2.01e-09  3.39e-06   0.1
  us30 (aes_sbox_7)                   2.64e-05 5.34e-05 7.14e-08  7.99e-05   2.0
  us31 (aes_sbox_6)                   2.58e-05 5.10e-05 7.12e-08  7.68e-05   1.9
  us32 (aes_sbox_5)                   2.53e-05 4.96e-05 7.12e-08  7.50e-05   1.9
  us33 (aes_sbox_4)                   2.40e-05 4.67e-05 7.13e-08  7.08e-05   1.8
  sa11_reg_5_ (WDDLDFFMS)             3.90e-06 2.00e-07 2.03e-09  4.10e-06   0.1
  sa01_reg_0_ (WDDLDFFMS)             4.01e-06 2.99e-07 1.99e-09  4.31e-06   0.1
  text_out_reg_27_ (WDDLDFFMS)        4.05e-06 6.80e-08 2.03e-09  4.12e-06   0.1
  sa32_reg_5_ (WDDLDFFMS)             4.68e-06 3.00e-07 2.04e-09  4.98e-06   0.1
  sa22_reg_0_ (WDDLDFFMS)             4.35e-06 1.99e-07 2.05e-09  4.55e-06   0.1
  text_out_reg_67_ (WDDLDFFMS)        3.65e-06 1.02e-07 1.99e-09  3.75e-06   0.1
  sa11_reg_6_ (WDDLDFFMS)             3.43e-06 1.61e-07 2.00e-09  3.59e-06   0.1
  sa01_reg_1_ (WDDLDFFMS)             3.44e-06 7.68e-07 1.97e-09  4.21e-06   0.1
  text_out_reg_28_ (WDDLDFFMS)        4.17e-06 1.02e-07 2.05e-09  4.27e-06   0.1
  sa32_reg_6_ (WDDLDFFMS)             3.94e-06 1.79e-07 2.00e-09  4.12e-06   0.1
  sa22_reg_1_ (WDDLDFFMS)             4.81e-06 1.15e-06 2.05e-09  5.96e-06   0.2
  text_out_reg_68_ (WDDLDFFMS)        3.61e-06 6.80e-08 2.02e-09  3.68e-06   0.1
  sa11_reg_7_ (WDDLDFFMS)             4.33e-06 8.47e-07 2.04e-09  5.18e-06   0.1
  sa01_reg_2_ (WDDLDFFMS)             4.30e-06 3.85e-07 2.03e-09  4.68e-06   0.1
  text_out_reg_29_ (WDDLDFFMS)        4.01e-06 1.02e-07 2.03e-09  4.11e-06   0.1
  sa32_reg_7_ (WDDLDFFMS)             4.92e-06 1.13e-06 2.05e-09  6.05e-06   0.2
  text_out_reg_120_ (WDDLDFFMS)       4.09e-06 1.36e-07 2.04e-09  4.23e-06   0.1
