****************************************
Report : Time Based Power
	-hierarchy
	-verbose
Design : aes_cipher_top
Version: N-2017.12-SP3-2
Date   : Fri Mar 29 15:33:18 2019
****************************************

Sampling Interval: 0.001 ns

Library(s) Used:

    sage-x_tsmc_cl018g_rvt_ss_1p62v_125c (File: /opt/libs/tsmc180/extracted/tsmc/cl018g/sc9_base_rvt/2008q3v01/db/sage-x_tsmc_cl018g_rvt_ss_1p62v_125c.db)
    tpz018nvwc (File: /opt/libs/tsmc180/extracted/gpio/TPZ018NV/TS02IG502/fb_tpz018nv_280a_r6p0-02eac0/timing_power_noise/NLDM/tpz018nv_280a/tpz018nvwc.db)
    sram12x8 (File: /home/bilgiday/sram_new/db/sram12x8_slow_syn.db)
    USERLIB (File: /home/bilgiday/sram_new/db/sram6x26_slow_syn.db)
    sram8x25 (File: /home/bilgiday/sram_new/db/sram8x25_slow_syn.db)
    sram9x32 (File: /home/bilgiday/sram_new/db/sram9x32_slow_syn.db)
    sram6x32 (File: /home/bilgiday/sram_new/db/sram6x32_slow_syn.db)
    sram8x32 (File: /home/bilgiday/sram_new/db/sram8x32_slow_syn.db)
    USERLIB (File: /home/bilgiday/sram_new/db/sram2p8x32_slow_syn.db)
    sram13x8 (File: /home/bilgiday/sram_new/db/sram13x8_slow_syn.db)


Operating Conditions: ss_1p62v_125c   Library: sage-x_tsmc_cl018g_rvt_ss_1p62v_125c
Wire Load Model Mode: top

Cell               Design       Wire_model  Library       Selection_type
--------------------------------------------------------------------------------
                   aes_cipher_top
                                TSMC16K_Conservative
                                            tpz018nvwc    automatic-by-area

Power-specific unit information :
    Voltage Units = 1 V
    Capacitance Units = 1 pf
    Time Units = 1 ns
    Dynamic Power Units = 1 W
    Leakage Power Units = 1 W



                                      Int      Switch   Leak      Total
Hierarchy                             Power    Power    Power     Power    %
--------------------------------------------------------------------------------
  text_out_reg_51_ (WDDLDFFMS)        4.84e-06 1.70e-07 2.07e-09  5.01e-06   0.1
  sa01_reg_5_ (WDDLDFFMS)             5.94e-06 4.99e-07 2.10e-09  6.45e-06   0.1
  text_out_reg_91_ (WDDLDFFMS)        5.04e-06 1.70e-07 2.10e-09  5.22e-06   0.1
  text_out_reg_123_ (WDDLDFFMS)       5.29e-06 1.70e-07 2.11e-09  5.46e-06   0.1
  text_out_reg_12_ (WDDLDFFMS)        5.33e-06 1.70e-07 2.12e-09  5.50e-06   0.1
  sa22_reg_5_ (WDDLDFFMS)             5.29e-06 4.99e-07 2.07e-09  5.79e-06   0.1
  sa12_reg_0_ (WDDLDFFMS)             6.60e-06 6.97e-07 2.15e-09  7.29e-06   0.1
  text_out_reg_52_ (WDDLDFFMS)        5.79e-06 2.04e-07 2.13e-09  5.99e-06   0.1
  sa33_reg_0_ (WDDLDFFMS)             5.67e-06 5.53e-07 2.08e-09  6.23e-06   0.1
  sa01_reg_6_ (WDDLDFFMS)             5.52e-06 3.41e-07 2.07e-09  5.87e-06   0.1
  text_out_reg_92_ (WDDLDFFMS)        5.30e-06 2.04e-07 2.11e-09  5.50e-06   0.1
  text_out_reg_124_ (WDDLDFFMS)       4.55e-06 1.36e-07 2.04e-09  4.69e-06   0.1
  text_out_reg_13_ (WDDLDFFMS)        4.35e-06 1.36e-07 2.05e-09  4.49e-06   0.1
  sa22_reg_6_ (WDDLDFFMS)             5.85e-06 4.22e-07 2.10e-09  6.27e-06   0.1
  sa12_reg_1_ (WDDLDFFMS)             5.40e-06 1.56e-06 2.07e-09  6.96e-06   0.1
  text_out_reg_53_ (WDDLDFFMS)        4.80e-06 1.36e-07 2.07e-09  4.94e-06   0.1
  sa33_reg_1_ (WDDLDFFMS)             5.82e-06 2.30e-06 2.10e-09  8.13e-06   0.1
  sa01_reg_7_ (WDDLDFFMS)             6.08e-06 1.98e-06 2.13e-09  8.06e-06   0.1
  text_out_reg_93_ (WDDLDFFMS)        5.38e-06 2.04e-07 2.11e-09  5.58e-06   0.1
  text_out_reg_125_ (WDDLDFFMS)       4.84e-06 1.70e-07 2.10e-09  5.02e-06   0.1
  text_out_reg_14_ (WDDLDFFMS)        5.25e-06 1.89e-07 2.10e-09  5.44e-06   0.1
  sa22_reg_7_ (WDDLDFFMS)             5.20e-06 1.13e-06 2.07e-09  6.33e-06   0.1
  sa12_reg_2_ (WDDLDFFMS)             5.72e-06 9.63e-07 2.09e-09  6.68e-06   0.1
  text_out_reg_54_ (WDDLDFFMS)        5.09e-06 1.89e-07 2.09e-09  5.28e-06   0.1
