****************************************
Report : Time Based Power
	-hierarchy
	-verbose
Design : aes_cipher_top
Version: N-2017.12-SP3-2
Date   : Sun Mar 31 23:41:30 2019
****************************************

Sampling Interval: 0.001 ns

Library(s) Used:

    sage-x_tsmc_cl018g_rvt_ss_1p62v_125c (File: /opt/libs/tsmc180/extracted/tsmc/cl018g/sc9_base_rvt/2008q3v01/db/sage-x_tsmc_cl018g_rvt_ss_1p62v_125c.db)
    tpz018nvwc (File: /opt/libs/tsmc180/extracted/gpio/TPZ018NV/TS02IG502/fb_tpz018nv_280a_r6p0-02eac0/timing_power_noise/NLDM/tpz018nv_280a/tpz018nvwc.db)
    sram12x8 (File: /home/bilgiday/sram_new/db/sram12x8_slow_syn.db)
    USERLIB (File: /home/bilgiday/sram_new/db/sram6x26_slow_syn.db)
    sram8x25 (File: /home/bilgiday/sram_new/db/sram8x25_slow_syn.db)
    sram9x32 (File: /home/bilgiday/sram_new/db/sram9x32_slow_syn.db)
    sram6x32 (File: /home/bilgiday/sram_new/db/sram6x32_slow_syn.db)
    sram8x32 (File: /home/bilgiday/sram_new/db/sram8x32_slow_syn.db)
    USERLIB (File: /home/bilgiday/sram_new/db/sram2p8x32_slow_syn.db)
    sram13x8 (File: /home/bilgiday/sram_new/db/sram13x8_slow_syn.db)


Operating Conditions: ss_1p62v_125c   Library: sage-x_tsmc_cl018g_rvt_ss_1p62v_125c
Wire Load Model Mode: top

Cell               Design       Wire_model  Library       Selection_type
--------------------------------------------------------------------------------
                   aes_cipher_top
                                TSMC16K_Conservative
                                            tpz018nvwc    automatic-by-area

Power-specific unit information :
    Voltage Units = 1 V
    Capacitance Units = 1 pf
    Time Units = 1 ns
    Dynamic Power Units = 1 W
    Leakage Power Units = 1 W



                                      Int      Switch   Leak      Total
Hierarchy                             Power    Power    Power     Power    %
--------------------------------------------------------------------------------
    U215 (WDDLNAND2X)                 2.09e-06 1.86e-06 2.27e-09  3.95e-06   0.1
    U310 (WDDLNAND2X)                 3.93e-06 3.21e-06 2.34e-09  7.14e-06   0.1
    U316 (WDDLINV)                    1.25e-06 1.65e-06 1.22e-09  2.90e-06   0.0
    U121 (WDDLNAND2X)                 3.65e-06 2.74e-06 2.30e-09  6.39e-06   0.1
    U20 (WDDLNAND2X)                  2.06e-06 1.33e-06 2.23e-09  3.39e-06   0.1
    U21 (WDDLNOR2X)                   2.40e-06 2.61e-06 2.32e-09  5.02e-06   0.1
    U22 (WDDLNOR2X)                   2.22e-06 2.06e-06 2.34e-09  4.29e-06   0.1
    U23 (WDDLNAND2X)                  2.85e-06 2.55e-06 2.32e-09  5.40e-06   0.1
    U26 (WDDLNOR2X)                   2.07e-06 2.33e-06 2.33e-09  4.41e-06   0.1
    U27 (WDDLNOR2X)                   2.01e-06 1.71e-06 2.32e-09  3.72e-06   0.1
    U29 (WDDLNAND2X)                  1.91e-06 1.50e-06 2.24e-09  3.42e-06   0.1
    U234 (WDDLNAND2X)                 1.97e-06 1.76e-06 2.28e-09  3.73e-06   0.1
    U332 (WDDLINV)                    1.22e-06 1.32e-06 1.23e-09  2.54e-06   0.0
    U338 (WDDLNOR2X)                  3.41e-06 2.79e-06 2.34e-09  6.20e-06   0.1
    U148 (WDDLINV)                    1.40e-06 1.88e-06 1.19e-09  3.28e-06   0.1
    U342 (WDDLNOR2X)                  2.23e-06 2.31e-06 2.30e-09  4.54e-06   0.1
  sa11_reg_4_ (WDDLDFFMS)             6.48e-06 1.01e-06 2.11e-09  7.48e-06   0.1
  text_out_reg_26_ (WDDLDFFMS)        3.91e-06 8.73e-08 2.04e-09  3.99e-06   0.1
  sa32_reg_4_ (WDDLDFFMS)             6.90e-06 1.09e-06 2.16e-09  7.99e-06   0.1
  text_out_reg_66_ (WDDLDFFMS)        5.71e-06 2.04e-07 2.14e-09  5.91e-06   0.1
  us30 (aes_sbox_7)                   3.96e-05 7.83e-05 7.07e-08  1.18e-04   1.9
  us31 (aes_sbox_6)                   4.05e-05 7.92e-05 7.14e-08  1.20e-04   2.0
  us32 (aes_sbox_5)                   5.28e-05 1.03e-04 7.13e-08  1.55e-04   2.6
  us33 (aes_sbox_4)                   4.81e-05 9.55e-05 7.09e-08  1.44e-04   2.4
  sa11_reg_5_ (WDDLDFFMS)             6.28e-06 5.99e-07 2.10e-09  6.88e-06   0.1
  sa01_reg_0_ (WDDLDFFMS)             5.49e-06 4.98e-07 2.10e-09  5.99e-06   0.1
  text_out_reg_27_ (WDDLDFFMS)        4.95e-06 1.70e-07 2.10e-09  5.13e-06   0.1
  sa32_reg_5_ (WDDLDFFMS)             5.96e-06 6.99e-07 2.13e-09  6.66e-06   0.1
  sa22_reg_0_ (WDDLDFFMS)             6.28e-06 5.17e-07 2.11e-09  6.80e-06   0.1
  text_out_reg_67_ (WDDLDFFMS)        5.74e-06 2.04e-07 2.13e-09  5.94e-06   0.1
  sa11_reg_6_ (WDDLDFFMS)             5.07e-06 3.22e-07 2.05e-09  5.40e-06   0.1
  sa01_reg_1_ (WDDLDFFMS)             5.93e-06 2.30e-06 2.10e-09  8.23e-06   0.1
  text_out_reg_28_ (WDDLDFFMS)        4.95e-06 1.55e-07 2.07e-09  5.11e-06   0.1
  sa32_reg_6_ (WDDLDFFMS)             6.07e-06 5.36e-07 2.12e-09  6.60e-06   0.1
  sa22_reg_1_ (WDDLDFFMS)             5.17e-06 1.17e-06 2.03e-09  6.34e-06   0.1
  text_out_reg_68_ (WDDLDFFMS)        3.96e-06 6.80e-08 2.04e-09  4.03e-06   0.1
  sa11_reg_7_ (WDDLDFFMS)             5.57e-06 1.15e-06 2.06e-09  6.72e-06   0.1
  sa01_reg_2_ (WDDLDFFMS)             6.45e-06 1.17e-06 2.12e-09  7.63e-06   0.1
  text_out_reg_29_ (WDDLDFFMS)        4.52e-06 1.36e-07 2.07e-09  4.66e-06   0.1
  sa32_reg_7_ (WDDLDFFMS)             6.13e-06 1.98e-06 2.12e-09  8.11e-06   0.1
  text_out_reg_120_ (WDDLDFFMS)       4.20e-06 8.73e-08 2.02e-09  4.29e-06   0.1
  sa22_reg_2_ (WDDLDFFMS)             6.29e-06 9.82e-07 2.13e-09  7.27e-06   0.1
  text_out_reg_69_ (WDDLDFFMS)        5.21e-06 1.89e-07 2.10e-09  5.40e-06   0.1
  sa01_reg_3_ (WDDLDFFMS)             6.30e-06 1.12e-06 2.09e-09  7.42e-06   0.1
  text_out_reg_121_ (WDDLDFFMS)       5.56e-06 1.70e-07 2.11e-09  5.73e-06   0.1
  text_out_reg_10_ (WDDLDFFMS)        5.23e-06 1.55e-07 2.08e-09  5.38e-06   0.1
  sa22_reg_3_ (WDDLDFFMS)             5.69e-06 7.45e-07 2.08e-09  6.43e-06   0.1
  text_out_reg_50_ (WDDLDFFMS)        6.19e-06 2.57e-07 2.18e-09  6.45e-06   0.1
  sa01_reg_4_ (WDDLDFFMS)             5.83e-06 8.38e-07 2.09e-09  6.67e-06   0.1
  text_out_reg_90_ (WDDLDFFMS)        5.79e-06 1.89e-07 2.11e-09  5.98e-06   0.1
  text_out_reg_122_ (WDDLDFFMS)       5.03e-06 1.55e-07 2.08e-09  5.19e-06   0.1
  text_out_reg_11_ (WDDLDFFMS)        4.30e-06 1.36e-07 2.06e-09  4.43e-06   0.1
  sa22_reg_4_ (WDDLDFFMS)             6.39e-06 8.38e-07 2.10e-09  7.23e-06   0.1
  text_out_reg_51_ (WDDLDFFMS)        5.29e-06 1.89e-07 2.11e-09  5.48e-06   0.1
  sa01_reg_5_ (WDDLDFFMS)             6.20e-06 6.18e-07 2.12e-09  6.82e-06   0.1
  text_out_reg_91_ (WDDLDFFMS)        4.61e-06 1.36e-07 2.06e-09  4.75e-06   0.1
  text_out_reg_123_ (WDDLDFFMS)       5.02e-06 1.70e-07 2.08e-09  5.19e-06   0.1
  text_out_reg_12_ (WDDLDFFMS)        4.73e-06 1.36e-07 2.06e-09  4.86e-06   0.1
  sa22_reg_5_ (WDDLDFFMS)             5.75e-06 5.99e-07 2.08e-09  6.35e-06   0.1
  sa12_reg_0_ (WDDLDFFMS)             4.89e-06 2.99e-07 2.04e-09  5.20e-06   0.1
  text_out_reg_52_ (WDDLDFFMS)        4.36e-06 1.21e-07 2.03e-09  4.48e-06   0.1
  sa33_reg_0_ (WDDLDFFMS)             5.54e-06 4.43e-07 2.07e-09  5.99e-06   0.1
  sa01_reg_6_ (WDDLDFFMS)             5.53e-06 3.22e-07 2.05e-09  5.85e-06   0.1
