****************************************
Report : Time Based Power
	-hierarchy
	-verbose
Design : aes_cipher_top
Version: N-2017.12-SP3-2
Date   : Sat Mar  9 00:55:10 2019
****************************************

Sampling Interval: 0.001 ns

Library(s) Used:

    sage-x_tsmc_cl018g_rvt_ss_1p62v_125c (File: /opt/libs/tsmc180/extracted/tsmc/cl018g/sc9_base_rvt/2008q3v01/db/sage-x_tsmc_cl018g_rvt_ss_1p62v_125c.db)
    tpz018nvwc (File: /opt/libs/tsmc180/extracted/gpio/TPZ018NV/TS02IG502/fb_tpz018nv_280a_r6p0-02eac0/timing_power_noise/NLDM/tpz018nv_280a/tpz018nvwc.db)
    sram12x8 (File: /home/bilgiday/sram_new/db/sram12x8_slow_syn.db)
    USERLIB (File: /home/bilgiday/sram_new/db/sram6x26_slow_syn.db)
    sram8x25 (File: /home/bilgiday/sram_new/db/sram8x25_slow_syn.db)
    sram9x32 (File: /home/bilgiday/sram_new/db/sram9x32_slow_syn.db)
    sram6x32 (File: /home/bilgiday/sram_new/db/sram6x32_slow_syn.db)
    sram8x32 (File: /home/bilgiday/sram_new/db/sram8x32_slow_syn.db)
    USERLIB (File: /home/bilgiday/sram_new/db/sram2p8x32_slow_syn.db)
    sram13x8 (File: /home/bilgiday/sram_new/db/sram13x8_slow_syn.db)


Operating Conditions: ss_1p62v_125c   Library: sage-x_tsmc_cl018g_rvt_ss_1p62v_125c
Wire Load Model Mode: top

Cell               Design       Wire_model  Library       Selection_type
--------------------------------------------------------------------------------
                   aes_cipher_top
                                TSMC16K_Conservative
                                            tpz018nvwc    automatic-by-area

Power-specific unit information :
    Voltage Units = 1 V
    Capacitance Units = 1 pf
    Time Units = 1 ns
    Dynamic Power Units = 1 W
    Leakage Power Units = 1 W



                                      Int      Switch   Leak      Total
Hierarchy                             Power    Power    Power     Power    %
--------------------------------------------------------------------------------
  sa01_reg_7_ (WDDLDFFMS)             5.19e-06 1.27e-06 2.16e-09  6.46e-06   0.1
  sa22_reg_7_ (WDDLDFFMS)             5.19e-06 1.27e-06 2.17e-09  6.46e-06   0.1
  sa12_reg_2_ (WDDLDFFMS)             3.99e-06 8.84e-07 2.05e-09  4.88e-06   0.1
  sa33_reg_2_ (WDDLDFFMS)             4.73e-06 8.84e-07 2.13e-09  5.61e-06   0.1
  sa12_reg_3_ (WDDLDFFMS)             4.77e-06 8.56e-07 2.13e-09  5.63e-06   0.1
  U1373 (WDDLNANDCOMP)                2.82e-06 1.87e-06 3.16e-09  4.69e-06   0.1
  sa33_reg_3_ (WDDLDFFMS)             4.97e-06 1.01e-06 2.17e-09  5.98e-06   0.1
  sa12_reg_4_ (WDDLDFFMS)             5.06e-06 9.05e-07 2.17e-09  5.97e-06   0.1
  sa33_reg_4_ (WDDLDFFMS)             4.47e-06 5.78e-07 2.09e-09  5.05e-06   0.1
  sa12_reg_5_ (WDDLDFFMS)             4.47e-06 4.67e-07 2.09e-09  4.94e-06   0.1
  sa02_reg_0_ (WDDLDFFMS)             4.16e-06 5.37e-07 2.08e-09  4.70e-06   0.1
  sa33_reg_5_ (WDDLDFFMS)             4.25e-06 4.49e-07 2.08e-09  4.71e-06   0.1
  sa23_reg_0_ (WDDLDFFMS)             4.28e-06 4.65e-07 2.08e-09  4.75e-06   0.1
  sa12_reg_6_ (WDDLDFFMS)             4.28e-06 3.80e-07 2.08e-09  4.66e-06   0.1
  sa02_reg_1_ (WDDLDFFMS)             4.44e-06 1.75e-06 2.09e-09  6.19e-06   0.1
  sa33_reg_6_ (WDDLDFFMS)             4.27e-06 4.82e-07 2.09e-09  4.75e-06   0.1
  sa23_reg_1_ (WDDLDFFHQX2)           8.41e-06 1.32e-06 5.28e-09  9.73e-06   0.2
  sa12_reg_7_ (WDDLDFFMS)             4.55e-06 1.03e-06 2.08e-09  5.58e-06   0.1
  sa02_reg_2_ (WDDLDFFMS)             4.66e-06 1.04e-06 2.12e-09  5.71e-06   0.1
  sa33_reg_7_ (WDDLDFFMS)             4.25e-06 1.29e-06 2.08e-09  5.54e-06   0.1
  sa23_reg_2_ (WDDLDFFMS)             5.53e-06 8.66e-07 2.21e-09  6.39e-06   0.1
  sa02_reg_3_ (WDDLDFFMS)             4.84e-06 8.39e-07 2.13e-09  5.68e-06   0.1
  sa23_reg_3_ (WDDLDFFMS)             5.09e-06 8.39e-07 2.16e-09  5.93e-06   0.1
  sa02_reg_4_ (WDDLDFFMS)             4.72e-06 7.72e-07 2.12e-09  5.50e-06   0.1
  sa23_reg_4_ (WDDLDFFMS)             4.91e-06 6.21e-07 2.13e-09  5.53e-06   0.1
  sa30_reg_0_ (WDDLDFFMS)             4.50e-06 5.15e-07 2.09e-09  5.02e-06   0.1
  sa02_reg_5_ (WDDLDFFMS)             5.34e-06 3.77e-07 2.16e-09  5.72e-06   0.1
  sa23_reg_5_ (WDDLDFFMS)             5.15e-06 3.77e-07 2.16e-09  5.53e-06   0.1
  sa13_reg_0_ (WDDLDFFMS)             4.47e-06 4.65e-07 2.09e-09  4.93e-06   0.1
  sa30_reg_1_ (WDDLDFFMS)             4.39e-06 1.40e-06 2.05e-09  5.80e-06   0.1
  sa02_reg_6_ (WDDLDFFMS)             5.27e-06 3.62e-07 2.17e-09  5.63e-06   0.1
  sa23_reg_6_ (WDDLDFFMS)             5.52e-06 3.07e-07 2.20e-09  5.83e-06   0.1
  sa13_reg_1_ (WDDLDFFMS)             4.81e-06 2.07e-06 2.17e-09  6.88e-06   0.1
  sa30_reg_2_ (WDDLDFFMS)             4.62e-06 1.04e-06 2.12e-09  5.66e-06   0.1
  sa02_reg_7_ (WDDLDFFMS)             4.73e-06 1.03e-06 2.09e-09  5.77e-06   0.1
  sa23_reg_7_ (WDDLDFFMS)             3.42e-06 1.29e-06 2.00e-09  4.71e-06   0.1
  sa13_reg_2_ (WDDLDFFMS)             4.80e-06 7.11e-07 2.12e-09  5.52e-06   0.1
  sa30_reg_3_ (WDDLDFFMS)             4.79e-06 8.39e-07 2.13e-09  5.63e-06   0.1
  sa13_reg_3_ (WDDLDFFMS)             4.80e-06 6.88e-07 2.12e-09  5.49e-06   0.1
  sa30_reg_4_ (WDDLDFFMS)             5.52e-06 8.57e-07 2.21e-09  6.38e-06   0.1
  sa13_reg_4_ (WDDLDFFMS)             4.78e-06 6.21e-07 2.12e-09  5.40e-06   0.1
  sa30_reg_5_ (WDDLDFFMS)             3.88e-06 4.67e-07 2.04e-09  4.35e-06   0.1
  sa20_reg_0_ (WDDLDFFMS)             5.13e-06 4.48e-07 2.16e-09  5.58e-06   0.1
  sa13_reg_5_ (WDDLDFFMS)             3.89e-06 3.77e-07 2.04e-09  4.27e-06   0.1
  sa03_reg_0_ (WDDLDFFMS)             4.83e-06 4.48e-07 2.13e-09  5.28e-06   0.1
  sa30_reg_6_ (WDDLDFFMS)             4.84e-06 3.39e-07 2.12e-09  5.19e-06   0.1
  sa20_reg_1_ (WDDLDFFMS)             4.44e-06 1.40e-06 2.05e-09  5.84e-06   0.1
  sa13_reg_6_ (WDDLDFFMS)             4.28e-06 3.80e-07 2.08e-09  4.66e-06   0.1
  sa03_reg_1_ (WDDLDFFMS)             3.98e-06 2.07e-06 2.08e-09  6.05e-06   0.1
  sa30_reg_7_ (WDDLDFFMS)             4.55e-06 1.52e-06 2.13e-09  6.07e-06   0.1
  sa20_reg_2_ (WDDLDFFMS)             4.12e-06 7.11e-07 2.04e-09  4.83e-06   0.1
  sa13_reg_7_ (WDDLDFFMS)             4.99e-06 1.03e-06 2.13e-09  6.02e-06   0.1
  sa03_reg_2_ (WDDLDFFMS)             3.90e-06 8.84e-07 2.04e-09  4.78e-06   0.1
  sa20_reg_3_ (WDDLDFFMS)             4.33e-06 8.56e-07 2.08e-09  5.19e-06   0.1
  u0 (aes_key_expand_128)             9.39e-04 7.23e-04 5.85e-07  1.66e-03  30.4
    r0 (aes_rcon)                     2.67e-05 7.53e-06 1.71e-08  3.43e-05   0.6
    u0 (aes_sbox_3)                   4.28e-05 7.77e-05 7.05e-08  1.21e-04   2.2
    u1 (aes_sbox_2)                   4.38e-05 7.98e-05 6.99e-08  1.24e-04   2.3
    u2 (aes_sbox_1)                   4.80e-05 8.89e-05 7.05e-08  1.37e-04   2.5
    u3 (aes_sbox_0)                   4.62e-05 8.57e-05 7.01e-08  1.32e-04   2.4
  sa03_reg_3_ (WDDLDFFMS)             4.89e-06 6.88e-07 2.13e-09  5.58e-06   0.1
  sa20_reg_4_ (WDDLDFFMS)             4.29e-06 7.72e-07 2.08e-09  5.06e-06   0.1
  sa03_reg_4_ (WDDLDFFMS)             4.39e-06 6.21e-07 2.08e-09  5.01e-06   0.1
  sa20_reg_5_ (WDDLDFFMS)             5.24e-06 3.77e-07 2.16e-09  5.62e-06   0.1
  sa10_reg_0_ (WDDLDFFMS)             5.10e-06 4.65e-07 2.16e-09  5.56e-06   0.1
  sa31_reg_0_ (WDDLDFFMS)             4.30e-06 5.98e-07 2.09e-09  4.90e-06   0.1
  sa03_reg_5_ (WDDLDFFMS)             4.37e-06 3.77e-07 2.08e-09  4.75e-06   0.1
  sa20_reg_6_ (WDDLDFFMS)             4.79e-06 4.35e-07 2.13e-09  5.22e-06   0.1
  sa10_reg_1_ (WDDLDFFMS)             4.39e-06 1.40e-06 2.04e-09  5.79e-06   0.1
  sa31_reg_1_ (WDDLDFFMS)             5.54e-06 1.73e-06 2.21e-09  7.27e-06   0.1
  sa03_reg_6_ (WDDLDFFMS)             4.70e-06 3.07e-07 2.12e-09  5.01e-06   0.1
  sa20_reg_7_ (WDDLDFFMS)             4.41e-06 1.52e-06 2.12e-09  5.93e-06   0.1
  sa10_reg_2_ (WDDLDFFMS)             4.38e-06 8.84e-07 2.08e-09  5.27e-06   0.1
  sa31_reg_2_ (WDDLDFFMS)             4.29e-06 8.84e-07 2.08e-09  5.18e-06   0.1
